model,length_bin,n,accuracy,macro_f1
logreg+balanced,0-100,323,0.7276,0.7247
logreg+balanced,100-200,292,0.8904,0.8038
logreg+balanced,200-300,494,0.8785,0.8367
logreg+balanced,300-500,1599,0.8856,0.8358
logreg+balanced,500-1000,1423,0.8932,0.819
logreg+balanced,1000+,209,0.8995,0.6342
NB-BERT-base,0-100,323,0.808,0.8067
NB-BERT-base,100-200,292,0.9247,0.8629
NB-BERT-base,200-300,494,0.9069,0.8727
NB-BERT-base,300-500,1599,0.9149,0.8781
NB-BERT-base,500-1000,1423,0.9002,0.8354
NB-BERT-base,1000+,209,0.89,0.5739
Llama-3.1-8B 0-shot,0-100,323,0.7957,0.7926
Llama-3.1-8B 0-shot,100-200,292,0.9007,0.8264
Llama-3.1-8B 0-shot,200-300,494,0.9271,0.9004
Llama-3.1-8B 0-shot,300-500,1599,0.8874,0.8551
Llama-3.1-8B 0-shot,500-1000,1423,0.8524,0.8037
Llama-3.1-8B 0-shot,1000+,209,0.8612,0.6964
Llama-3.1-8B 4-shot,0-100,323,0.8142,0.8142
Llama-3.1-8B 4-shot,100-200,292,0.9144,0.8455
Llama-3.1-8B 4-shot,200-300,494,0.9372,0.9145
Llama-3.1-8B 4-shot,300-500,1599,0.9181,0.8898
Llama-3.1-8B 4-shot,500-1000,1423,0.9058,0.8602
Llama-3.1-8B 4-shot,1000+,209,0.866,0.7023
