model,year,n,accuracy,macro_f1
logreg+balanced,2014,48,0.8333,0.7641
logreg+balanced,2015,66,0.9091,0.8232
logreg+balanced,2016,1262,0.8621,0.8093
logreg+balanced,2017,2132,0.8893,0.839
logreg+balanced,2018,41,0.878,0.8287
logreg+balanced,2019,791,0.8647,0.7771
NB-BERT-base,2014,48,0.9167,0.8945
NB-BERT-base,2015,66,0.9091,0.864
NB-BERT-base,2016,1262,0.8922,0.8499
NB-BERT-base,2017,2132,0.9024,0.8552
NB-BERT-base,2018,41,0.9024,0.8677
NB-BERT-base,2019,791,0.909,0.8512
Llama-3.1-8B 0-shot,2014,48,0.9167,0.9062
Llama-3.1-8B 0-shot,2015,66,0.8636,0.825
Llama-3.1-8B 0-shot,2016,1262,0.8843,0.8505
Llama-3.1-8B 0-shot,2017,2132,0.8687,0.8283
Llama-3.1-8B 0-shot,2018,41,0.8537,0.8373
Llama-3.1-8B 0-shot,2019,791,0.8673,0.8185
Llama-3.1-8B 4-shot,2014,48,0.9167,0.9062
Llama-3.1-8B 4-shot,2015,66,0.8788,0.8415
Llama-3.1-8B 4-shot,2016,1262,0.9033,0.872
Llama-3.1-8B 4-shot,2017,2132,0.9081,0.8744
Llama-3.1-8B 4-shot,2018,41,0.9024,0.8874
Llama-3.1-8B 4-shot,2019,791,0.9052,0.8616
